제품명,상세 항목 및 요약,사용자 수 / 정보밀도,긍정 소분류 (Top 5),부정 소분류 (Top 5),종합 만족도,평균 점수
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,건성,35명,"추천/재구매 (17)
보습/속건조 (11)
미백/광채 (5)
상황/편의 (4)
순함/저자극 (2)","유분/피지 (2)
상황/편의 (1)
추천/재구매 (1)",만족,0.92
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,겨울쿨톤,17명,"추천/재구매 (8)
보습/속건조 (5)
상황/편의 (2)
유분/피지 (2)
가성비/가격 (1)","끈적임/밀림 (2)
자극/부작용 (1)",만족,0.77
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,다크서클,3명,"추천/재구매 (2)
상황/편의 (2)
끈적임/밀림 (1)
흡수/발림성 (1)
미백/광채 (1)",상황/편의 (1),만족,0.75
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,모공,8명,"추천/재구매 (3)
미백/광채 (2)
상황/편의 (1)
흡수/발림성 (1)",추천/재구매 (1),보통,0.27
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,미백,42명,"추천/재구매 (17)
보습/속건조 (12)
가성비/가격 (6)
흡수/발림성 (5)
상황/편의 (5)","끈적임/밀림 (1)
트러블/모공 (1)
유분/피지 (1)
추천/재구매 (1)
흡수/발림성 (1)",만족,0.92
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,민감성,29명,"추천/재구매 (18)
보습/속건조 (9)
미백/광채 (5)
자극/부작용 (3)
순함/저자극 (3)","상황/편의 (1)
트러블/모공 (1)
추천/재구매 (1)
끈적임/밀림 (1)",만족,1.18
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,복합성,51명,"추천/재구매 (21)
흡수/발림성 (11)
보습/속건조 (10)
미백/광채 (7)
상황/편의 (4)","자극/부작용 (3)
유분/피지 (3)
끈적임/밀림 (2)
추천/재구매 (2)
상황/편의 (1)",만족,0.86
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,봄웜톤,11명,"보습/속건조 (4)
추천/재구매 (4)
상황/편의 (3)
흡수/발림성 (2)
미백/광채 (1)",-,매우만족,1.53
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,블랙헤드,22명,"추천/재구매 (7)
흡수/발림성 (5)
보습/속건조 (3)
상황/편의 (2)
미백/광채 (2)","유분/피지 (2)
미백/광채 (1)
자극/부작용 (1)
진정/장벽 (1)
순함/저자극 (1)",보통,0.36
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,아토피,1명,-,자극/부작용 (1),보통,-1.0
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,약건성,2명,"추천/재구매 (1)
미백/광채 (1)",-,만족,0.75
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,여름쿨톤,34명,"추천/재구매 (14)
미백/광채 (10)
보습/속건조 (7)
유분/피지 (4)
상황/편의 (4)","유분/피지 (2)
추천/재구매 (2)
자극/부작용 (1)
미백/광채 (1)
진정/장벽 (1)",만족,0.84
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,웜톤,31명,"추천/재구매 (8)
보습/속건조 (8)
흡수/발림성 (5)
가성비/가격 (4)
상황/편의 (3)","유분/피지 (2)
추천/재구매 (1)",만족,0.92
