리뷰ID,제품군,제품명,날짜,가격,스킨타입,태그,대분류,소분류,정보밀도(대분류수),별점,긍부정,감성점수,매칭키워드,추출문장,clean_text,리뷰_평균점수,전체_매칭키워드
LL_260110_004,로션/밀크/크림,어성초 70 데일리 로션 200ml,2026.01.10,-,,,피부 자극,"순함/저자극, 자극/부작용",1,5점,긍정,2,"자극, 자극없",무난하게 자극없이 쓰기좋아요,무난하게 자극없이 쓰기좋아요. 피부 완전히 뒤집어 졌을 때 발랐는데도 괜찮았어요!,2.0,"뒤집, 자극, 자극없"
LL_260110_004,로션/밀크/크림,어성초 70 데일리 로션 200ml,2026.01.10,-,,,피부 자극,자극/부작용,1,5점,긍정,2,뒤집,피부 완전히 뒤집어 졌을 때 발랐는데도 괜찮았어요,무난하게 자극없이 쓰기좋아요. 피부 완전히 뒤집어 졌을 때 발랐는데도 괜찮았어요!,2.0,"뒤집, 자극, 자극없"
LL_260110_005,로션/밀크/크림,어성초 70 데일리 로션 200ml,2026.01.10,-,,한달이상사용,"수분/유분 밸런스, 피부 고민 해결","유분/피지, 트러블/모공",2,5점,긍정,3,"기름, 여드름",확실히 여드름이나 얼굴 기름짐이 많이 줄어들었습니다,아누아 어성초 덧붙일 말이 없습니다. 확실히 여드름이나 얼굴 기름짐이 많이 줄어들었습니다.,3.0,"기름, 여드름"
LL_260110_006,로션/밀크/크림,어성초 70 데일리 로션 200ml,2026.01.10,-,,한달이상사용,"수분/유분 밸런스, 피부 자극","보습/속건조, 자극/부작용",2,5점,긍정,3,"보습, 자극",엉덩이 피부 보습도 해걀되는지 테스트 겸 이거는 엉덩이도 잘 보습해줘요 자극도 없고,슴슴하니 좋은 로션이에요 저는 로션사면 무조건 엉덩이에 발라보는데 엉덩이 피부 보습도 해걀되는지 테스트 겸 이거는 엉덩이도 잘 보습해줘요 자극도 없고 굿굿,3.0,"보습, 자극"
LL_260111_001,로션/밀크/크림,어성초 70 데일리 로션 200ml,2026.01.11,-,,,수분/유분 밸런스,보습/속건조,2,5점,긍정,1,촉촉,촉촉하고,진짜 제 인생 로션이에요 정말 순하고 촉촉하고 진정에 너무 좋어요.,2.0,"진정, 촉촉"
LL_260111_001,로션/밀크/크림,어성초 70 데일리 로션 200ml,2026.01.11,-,,,피부 고민 해결,진정/장벽,2,5점,긍정,3,진정,진정에 너무 좋어요,진짜 제 인생 로션이에요 정말 순하고 촉촉하고 진정에 너무 좋어요.,2.0,"진정, 촉촉"
LL_260111_002,로션/밀크/크림,어성초 70 데일리 로션 200ml,2026.01.11,-,,,"구매 가치/편의, 피부 고민 해결","상황/편의, 진정/장벽",2,5점,긍정,3,"데일리, 진정",사실 진정은 모르겠지만 진짜 이름 그대로 데일리하게 쓰고있는 로션입니다 아누아는 뭔가 상품이 좋아요,사실 진정은 모르겠지만 진짜 이름 그대로 데일리하게 쓰고있는 로션입니다 아누아는 뭔가 상품이 좋아요,3.0,"데일리, 진정"
LL_260111_003,로션/밀크/크림,어성초 70 데일리 로션 200ml,2026.01.11,-,"복합성, 쿨톤, 잡티, 주름",한달이상사용,제형/사용감,흡수/발림성,2,5점,보통,0,흡수,흡수 잘되고,흡수 잘되고 가벼운 제형의 수분크림 느낌이라 손이 잘가고 진짜 데일리로션이에요 양도 많고 좋습니다,0.0,"가벼운, 데일리, 제형, 흡수"
LL_260111_003,로션/밀크/크림,어성초 70 데일리 로션 200ml,2026.01.11,-,"복합성, 쿨톤, 잡티, 주름",한달이상사용,제형/사용감,흡수/발림성,2,5점,보통,0,"가벼운, 제형",가벼운 제형의 수분크림 느낌이라 손이 잘가고,흡수 잘되고 가벼운 제형의 수분크림 느낌이라 손이 잘가고 진짜 데일리로션이에요 양도 많고 좋습니다,0.0,"가벼운, 데일리, 제형, 흡수"
LL_260111_003,로션/밀크/크림,어성초 70 데일리 로션 200ml,2026.01.11,-,"복합성, 쿨톤, 잡티, 주름",한달이상사용,구매 가치/편의,상황/편의,2,5점,보통,0,데일리,진짜 데일리로션이에요 양도 많고,흡수 잘되고 가벼운 제형의 수분크림 느낌이라 손이 잘가고 진짜 데일리로션이에요 양도 많고 좋습니다,0.0,"가벼운, 데일리, 제형, 흡수"
LL_260111_004,로션/밀크/크림,어성초 70 데일리 로션 200ml,2026.01.11,-,"건성, 잡티, 미백",,"구매 가치/편의, 수분/유분 밸런스, 피부 자극","보습/속건조, 상황/편의, 자극/부작용",4,5점,긍정,3,"자극, 촉촉, 향",구매 했는대요 향기가 자극적이지 않아 좋은거 같아요 또한 촉촉하고,남편이 사용한다고 구매 했는대요 향기가 자극적이지 않아 좋은거 같아요 또한 촉촉하고 사용하면서 피부도 보송보송해지고 피부톤이 밝아 진거 같다고 정말 만족하면서 사용중이내요 다 구매 하고 이 화장품으로 정착하고 싶다 할정도 예요,2.0,"만족, 밝아, 보송, 자극, 정착, 촉촉, 향, 화장"
