날짜,별점,스킨타입,태그,리뷰내용,raw_text,clean_text,quality_score,length,korean_ratio
2026.01.19,5점,,,여드름 색소침착때문에 구매했어요 너무 오래된 흉터는 아무래도 조금 힘든데 여드름 아물고 바로바로 꾸준히 바르면 확실히 효과가 있어요! 흔적이 볼부분에 전채적으로 있어서 거의 크림발라주듯이 전체적으로 다 발랐는데 쿨링효과도 있었어요 굳ㄷ!! 다만 제형이 조금 꾸덕한 제형이라 비비대면 조금 때처럼..? 밀려나오긴 해요 흡수되는걸 중요시하는분들은 참고하시길,여드름 색소침착때문에 구매했어요 너무 오래된 흉터는 아무래도 조금 힘든데 여드름 아물고 바로바로 꾸준히 바르면 확실히 효과가 있어요! 흔적이 볼부분에 전채적으로 있어서 거의 크림발라주듯이 전체적으로 다 발랐는데 쿨링효과도 있었어요 굳ㄷ!! 다만 제형이 조금 꾸덕한 제형이라 비비대면 조금 때처럼..? 밀려나오긴 해요 흡수되는걸 중요시하는분들은 참고하시길,여드름 색소침착때문에 구매했어요 너무 오래된 흉터는 아무래도 조금 힘든데 여드름 아물고 바로바로 꾸준히 바르면 확실히 효과가 있어요! 흔적이 볼부분에 전채적으로 있어서 거의 크림발라주듯이 전체적으로 다 발랐는데 쿨링효과도 있었어요 굳! 다만 제형이 조금 꾸덕한 제형이라 비비대면 조금 때처럼 밀려나오긴 해요 흡수되는걸 중요시하는분들은 참고하시길,1.0,192,0.7760416666666666
2026.01.18,1점,,한달이상사용,음 한달 넘게 써봤는데 딱히 효과는 안 보였어요 제형은 연고 같은 느낌이고 재구매는 안 할 것 같네요 광고는 역시 믿거입니다..,음 한달 넘게 써봤는데 딱히 효과는 안 보였어요 제형은 연고 같은 느낌이고 재구매는 안 할 것 같네요 광고는 역시 믿거입니다..,음 한달 넘게 써봤는데 딱히 효과는 안 보였어요 제형은 연고 같은 느낌이고 재구매는 안 할 것 같네요 광고는 역시 믿거입니다.,1.0,70,0.7142857142857143
2026.01.18,5점,,,얼굴이 뒤집어지거나 짜고 난 후에 흉터나 그 자리에 바르면 진정되고 연고같은 크림 제형이라 밤에 바르고 자면 다음날 좀 진정된 효과를 볼 수 있어용,얼굴이 뒤집어지거나 짜고 난 후에 흉터나 그 자리에 바르면 진정되고 연고같은 크림 제형이라 밤에 바르고 자면 다음날 좀 진정된 효과를 볼 수 있어용,얼굴이 뒤집어지거나 짜고 난 후에 흉터나 그 자리에 바르면 진정되고 연고같은 크림 제형이라 밤에 바르고 자면 다음날 좀 진정된 효과를 볼 수 있어용,1.0,82,0.7317073170731707
2026.01.18,5점,,한달이상사용,피부트러블 나고 얼굴에 듬뿍 발라주면 촉촉하고 진정 되는 느낌에 있어요 세일 많이 하면 좋겠어요,피부트러블 나고 얼굴에 듬뿍 발라주면 촉촉하고 진정 되는 느낌에 있어요 세일 많이 하면 좋겠어요,피부트러블 나고 얼굴에 듬뿍 발라주면 촉촉하고 진정 되는 느낌에 있어요 세일 많이 하면 좋겠어요,1.0,53,0.7547169811320755
2026.01.17,2점,,한달이상사용,광고에는 이거 쓰고 여드름 다 없어졌다고 했는데 나는 이거 쓰고 더 올라 왔음 피부 엄청 안 좋아졌음 예민해서 그런지 모르겠는데 모두 고민 하고 사시길,광고에는 이거 쓰고 여드름 다 없어졌다고 했는데 나는 이거 쓰고 더 올라 왔음 피부 엄청 안 좋아졌음 예민해서 그런지 모르겠는데 모두 고민 하고 사시길,광고에는 이거 쓰고 여드름 다 없어졌다고 했는데 나는 이거 쓰고 더 올라 왔음 피부 엄청 안 좋아졌음 예민해서 그런지 모르겠는데 모두 고민 하고 사시길,1.0,84,0.7261904761904762
2026.01.17,5점,,한달이상사용,이거 쓰고 붉은기가 거의 없어졌어요. 피부에 붉게 여드름 올라왔을 때 가볍게 바르기 좋아요!! 여드름 피부인데도 순해서 이거 바르고 자극을 받거나 더 심해지진 않아서 다음에 또 구매할 것 같아요!!,이거 쓰고 붉은기가 거의 없어졌어요. 피부에 붉게 여드름 올라왔을 때 가볍게 바르기 좋아요!! 여드름 피부인데도 순해서 이거 바르고 자극을 받거나 더 심해지진 않아서 다음에 또 구매할 것 같아요!!,이거 쓰고 붉은기가 거의 없어졌어요. 피부에 붉게 여드름 올라왔을 때 가볍게 바르기 좋아요! 여드름 피부인데도 순해서 이거 바르고 자극을 받거나 더 심해지진 않아서 다음에 또 구매할 것 같아요!,1.0,108,0.7222222222222222
2026.01.17,4점,,재구매,여드름에 크게 효과있는지 잘모르겠어요..효과를 모르겠어서 두번째 구매해서 쓰는중인데 이제 안살것같아여,여드름에 크게 효과있는지 잘모르겠어요..효과를 모르겠어서 두번째 구매해서 쓰는중인데 이제 안살것같아여,여드름에 크게 효과있는지 잘모르겠어요.효과를 모르겠어서 두번째 구매해서 쓰는중인데 이제 안살것같아여,1.0,55,0.8181818181818182
2026.01.16,5점,,,몇일만애 좀 피부 좋아진거같가도하고 한5개정도쟁여두고싶노,몇일만애 좀 피부 좋아진거같가도하고 한5개정도쟁여두고싶노,몇일만애 좀 피부 좋아진거같가도하고 한5개정도쟁여두고싶노,1.0,31,0.8387096774193549
2026.01.16,5점,,,"자극 같은건 일절 없고 좋아요
솔직히 진정이랑 트러블에 좋은건 모르겠는데 흔적에는 확실히 좋아요
근데 약간 무거워서 딱 그 흔적 부분에만 발라주면 좋아요","자극 같은건 일절 없고 좋아요
솔직히 진정이랑 트러블에 좋은건 모르겠는데 흔적에는 확실히 좋아요
근데 약간 무거워서 딱 그 흔적 부분에만 발라주면 좋아요",자극 같은건 일절 없고 좋아요 솔직히 진정이랑 트러블에 좋은건 모르겠는데 흔적에는 확실히 좋아요 근데 약간 무거워서 딱 그 흔적 부분에만 발라주면 좋아요,1.0,85,0.7529411764705882
2026.01.16,5점,,재구매,처음에 사용했을때 좁쌀도 사라지고 그래서 꾸준히 사용해보고 있는 제품입니다 흉터도 가라앉는것같고 여드름도 잘 가라앉게 해주는것같아요,처음에 사용했을때 좁쌀도 사라지고 그래서 꾸준히 사용해보고 있는 제품입니다 흉터도 가라앉는것같고 여드름도 잘 가라앉게 해주는것같아요,처음에 사용했을때 좁쌀도 사라지고 그래서 꾸준히 사용해보고 있는 제품입니다 흉터도 가라앉는것같고 여드름도 잘 가라앉게 해주는것같아요,1.0,73,0.8082191780821918
