날짜,별점,스킨타입,태그,리뷰내용,raw_text,clean_text,quality_score,length,korean_ratio
2025.11.26,5점,"잡티, 트러블",한달이상사용,"세럼 필요해서 샀었는데 잘 썼어요
촉촉하고 바르고 나면 피부가 깨끗해지는 기분","세럼 필요해서 샀었는데 잘 썼어요
촉촉하고 바르고 나면 피부가 깨끗해지는 기분",세럼 필요해서 샀었는데 잘 썼어요 촉촉하고 바르고 나면 피부가 깨끗해지는 기분,1.0,43,0.7674418604651163
2025.11.25,5점,,한달이상사용,이거 바르고 화장하면 피부 화장이 잘먹어요!! 자극없이 순해서 좋아요,이거 바르고 화장하면 피부 화장이 잘먹어요!! 자극없이 순해서 좋아요,이거 바르고 화장하면 피부 화장이 잘먹어요! 자극없이 순해서 좋아요,1.0,37,0.7567567567567568
2025.11.24,4점,"지성, 여름쿨톤, 각질, 블랙헤드",,항상 올리브영 잘 사용하고 있어요. 한 달 사용해 보고 좋은지 알 수 있을 것 같아요,항상 올리브영 잘 사용하고 있어요. 한 달 사용해 보고 좋은지 알 수 있을 것 같아요,항상 올리브영 잘 사용하고 있어요. 한 달 사용해 보고 좋은지 알 수 있을 것 같아요,1.0,47,0.6808510638297872
2025.11.20,5점,,,고딩 딸아이가 써보고 싶다해서 올.영 매장 갔을때 구매해줬네여~ 촉촉하니 좋데요~,고딩 딸아이가 써보고 싶다해서 올.영 매장 갔을때 구매해줬네여~ 촉촉하니 좋데요~,고딩 딸아이가 써보고 싶다해서 올.영 매장 갔을때 구매해줬네여 촉촉하니 좋데요,1.0,43,0.7674418604651163
2025.11.18,5점,,,화잘먹 세럼 하얘지는 건 솔직히 모르겟슴... 아누아 걍 화잘먹 제품에 집중하세요,화잘먹 세럼 하얘지는 건 솔직히 모르겟슴... 아누아 걍 화잘먹 제품에 집중하세요,화잘먹 세럼 하얘지는 건 솔직히 모르겟슴 아누아 걍 화잘먹 제품에 집중하세요,1.0,42,0.7619047619047619
2025.11.16,4점,,한달이상사용,보습도 잘 되고 화장 전에 바르면 화장도 잘 먹어서 좋아요 피부톤도 조금 밝아진 것 같아요,보습도 잘 되고 화장 전에 바르면 화장도 잘 먹어서 좋아요 피부톤도 조금 밝아진 것 같아요,보습도 잘 되고 화장 전에 바르면 화장도 잘 먹어서 좋아요 피부톤도 조금 밝아진 것 같아요,1.0,50,0.72
2025.11.16,5점,,,"친구가 추천해줘서 구매했었는데, 역시 좋네요~~!! 세일할 때 저렴하게 샀어요!!","친구가 추천해줘서 구매했었는데, 역시 좋네요~~!! 세일할 때 저렴하게 샀어요!!","친구가 추천해줘서 구매했었는데, 역시 좋네요 세일할 때 저렴하게 샀어요!",1.0,40,0.75
2025.11.13,5점,"민감성, 여름쿨톤, 미백, 트러블",,역시 아누아가 저는 잘 맞아요!! 복합성이라 보습력도 좀 있어야되는데 보급도 잘되고 순해서 거의 4통째? 쓰는거 같아요! 처음에 미백 효과 기대하고 샀는데 조금 하얘진거 같기도 하고…?? 절 모르겠어요ㅋㅋㅎ,역시 아누아가 저는 잘 맞아요!! 복합성이라 보습력도 좀 있어야되는데 보급도 잘되고 순해서 거의 4통째? 쓰는거 같아요! 처음에 미백 효과 기대하고 샀는데 조금 하얘진거 같기도 하고…?? 절 모르겠어요ㅋㅋㅎ,역시 아누아가 저는 잘 맞아요! 복합성이라 보습력도 좀 있어야되는데 보급도 잘되고 순해서 거의 4통째? 쓰는거 같아요! 처음에 미백 효과 기대하고 샀는데 조금 하얘진거 같기도 하고 절 모르겠어요,1.0,108,0.7222222222222222
2025.11.10,5점,,"한달이상사용, 재구매","내 피부도 상큼 😁
미백효과는 솔직히 잘 모르겠구
발림성 부드럽고 사용함에 있어서 불편함은 없어요","내 피부도 상큼 😁
미백효과는 솔직히 잘 모르겠구
발림성 부드럽고 사용함에 있어서 불편함은 없어요",내 피부도 상큼 미백효과는 솔직히 잘 모르겠구 발림성 부드럽고 사용함에 있어서 불편함은 없어요,1.0,52,0.7692307692307693
2025.11.10,5점,,한달이상사용,얼굴이 쫀득쫀득해져서 피부화장이 엄청 잘 먹어요 가벼워서 바르기 좋아여,얼굴이 쫀득쫀득해져서 피부화장이 엄청 잘 먹어요 가벼워서 바르기 좋아여,얼굴이 쫀득쫀득해져서 피부화장이 엄청 잘 먹어요 가벼워서 바르기 좋아여,1.0,39,0.7948717948717948
