날짜,별점,스킨타입,태그,리뷰내용
2025.11.02,4점,,,양이 많아서 좋습니다! 음 그 뭐지 그 나오는 입구 다이소꺼랑 바꿔서 스프레이 형태로 쓰고 있는데 좋아요! 흡수도 빨리 되고 마무리도 쫀쫀하게 되서 화장 하기 전에 사용해요!
2025.11.02,5점,,,"[지성 피부 추천] 끈적임 없이 맑아지는 복숭아 빛 광채

지성 피부라 무겁거나 끈적이는 에센스 타입 토너는 정말 싫어하는데, 이건 의외로 산뜻하게 흡수되어 만족스러웠어요. 콧물 제형이라 닦토보다는 흡토(두드려 흡수)나 토너팩으로 활용했을 때 효과가 더 좋았습니다.

77% 복숭아 추출물과 나이아신아마이드 덕분인지, 꾸준히 사용하니 피부 톤이 확실히 맑아지고 칙칙함이 개선되는 느낌! 특히 메이크업 전에 사용하면 피부 결이 매끄러워져서 화장도 잘 먹어요. 은은한 복숭아 향도 기분 좋게 해주는 데일리 미백/결 케어템으로 강추합니다!"
2025.11.01,5점,,한달이상사용,패키지부터 제품까지 너무 맘에 들어요. 사길 잘한 거 같아요. 아누아 제품은 처음 써보는데 너무 만족해요.
2025.11.01,5점,,,계속 써보니가 피부도 밝아지고 좋아요 라스트픽으로 싸게삿어요 ㅎㅎ
2025.11.01,4점,"민감성, 여름쿨톤, 잡티, 미백",,"복숭아수가 맨앞에 있는 제품!
촉촉한 토너로 사용해주기 좋은 듯"
2025.10.12,5점,,한달이상사용,넘무 좋아요 이거는 항상 쟁여두고 떨어지면 바로바로 쓰는데 정착템인듷
2025.10.12,5점,"건성, 여름쿨톤, 홍조",한달이상사용,"복숭아 토너 큰 효과는 모르겠지만 디자인.. 그리고 향과 마무리감이 취향이라서 꾸준히 사용할 것 같습니다!
앰플은 안 맞는 지 좁쌀이 우다다 올라오던데 토너는 잘 맞네요"
2025.10.10,5점,"민감성, 여름쿨톤, 잡티, 트러블",,산뜻하고 향도 좋고 가벼운 스킨 느낌이에요. 가벼운 느낌 조아하시는 분들에게 딱인거 같아요
2025.10.10,5점,,한달이상사용,되게 점액같은? 다른 토너에 비해 걸쭉한 느낌이라 자기전에 써용 크게 미백이 되는것같진않은데 걍 촉촉해서 쓰는즁
2025.10.09,5점,,한달이상사용,점도 있는 토너이고 화장 전 닦토 아님 토너팩으로 활용하고 있어요 양도 괜찮고 쓸 만한거 같아요 미백은 모르겠엉ㅅ
2025.10.09,5점,,,"오 미백 굿굿 입니다
근데 다른 미백 제품하고 함께 쓰면 더 효과적이랄깡
한통 비우고 두번째통 입니덩"
2025.10.09,5점,,,님들이거진짜미백에정말좋아요제가이렇게띄어쓰기까지안하고쓸정도면진짜정말좋아서미칠거같다는거아시죠근데의문인게저거왜손에다가하고바를려고하면하얗게되는거죠???순수궁금입니다
2025.10.06,5점,,,저는 여드름 피부인데 이 제품을 바르고 피부진정효과를 봤어요.
2025.10.06,5점,"건성, 쿨톤, 미백, 각질",한달이상사용,항상 잘 쓰는 제품이에요 가성비도 좋고 맘에 듭니당 제품성도 굿굿🩷
2025.10.05,5점,,,냄세가 너무 좋다. 가볍고 끈적이지 않아요. 바르고 나면 피부가 환해요✨
2025.10.03,5점,,한달이상사용,아예 물은 아니고 그렇다고 엄청 점성이 잇는건 아니고 그냥 바르기좋은 토너
2025.10.01,5점,,,한국에서 파는 거 모르고 일본에서 파는 거 보고 알게 된 제품인데 왜 인기 많은지 알겠어요.
2025.10.01,2점,,한달이상사용,좋아요 진짜 굿 베리 굿 너무 좋아요 그냥 사세요 제발 사세요 그냥
2025.10.01,5점,,한달이상사용,막상 가격만 보면 비싼 거 같아도 토너 양이 꽤 돼서 오래 쓸 거 같아요!
2025.10.01,5점,"복합성, 봄웜톤, 잡티, 각질",한달이상사용,"이걸로 기초하고 화장하니까 쫀득쫀득 화장 개잘먹어용
이걸로 기초허ㅏ고 화장하면 개굿"
2025.09.29,5점,,,아누아 브랜드를 정말 좋아해요. 토너는 향이 너무 좋고 피부에 잘 스며듭니다. 피부가 벨벳처럼 매끄 럽고 윤기가 나며 안에서부터 빛이 납니다. 탄력도 생겼어요. 이 브랜드의 앰풀은 제 인생템이에요. 감사합니다!
2025.09.27,5점,"건성, 봄웜톤, 잡티, 미백",한달이상사용,아직까지 잘 쓰고 있어요🩷🩷 다 쓰면 또 살 거임 ㅠㅠ 이거만 발라도 촉촉해짐
2025.10.27,5점,,,"너무좋습니다. 완전추천합니다. 최고의상품
완전 최고에요"
2025.10.26,5점,,,토너는 이번에 처음 써봤는데 향도 너무 좋고 양도 많고 스킨케이 첫 단계에서 발라주니까 확실히 평소 보다 촉촉해서 좋네요
2025.10.19,5점,,한달이상사용,"2통째 쓰고 있는 스킨케어제품입니다!
여름에도 겨울에도 건성인 제 피부에 화장 전에 바르기 넘 좋아요. 이거 바르면 화장이 잘 먹어서 좋아여"
2025.10.17,5점,,한달이상사용,자극없이 순한 편이라서 막 쓰기 좋아요 촉촉하네요 만족합니다.
2025.10.16,5점,"지성, 쿨톤, 미백, 다크서클",,유명하다길래 샀음 닦토 찹토할때 잘 사용하는 중 무난하니 좋음
2025.10.14,5점,,한달이상사용,"품이 마음에 들었어요, 다시 살 수 할게요. 이것을 좋아해요 😍 #좋아해요 #재구매 #마음에들어"
2025.09.20,5점,"건성, 웜톤",한달이상사용,냄새도 좋고 제형도 가벼워서 닦토 팩토 모두 하기 좋아요 복숭아향이 진짜좋네요
2025.09.16,5점,,,"2통째입니다!
화장하기 전에 요걸로 스킨케어하면 화장이 잘먹어요"
2025.09.15,5점,,,자극없이 순한거같아서 만족합니다. 향은 그냥 그래요 ㅎㅎ
