리뷰ID,제품군,제품명,날짜,가격,스킨타입,태그,대분류,소분류,정보밀도(대분류수),별점,긍부정,감성점수,매칭키워드,추출문장,clean_text,리뷰_평균점수,전체_매칭키워드
TP_251005_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.10.05,-,,,제형/사용감,끈적임/밀림,2,5점,긍정,2,끈적,가볍고 끈적이지 않아요,냄세가 너무 좋다. 가볍고 끈적이지 않아요. 바르고 나면 피부가 환해요,1.0,"끈적, 환해"
TP_251005_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.10.05,-,,,피부 고민 해결,미백/광채,2,5점,보통,0,환해,바르고 나면 피부가 환해요,냄세가 너무 좋다. 가볍고 끈적이지 않아요. 바르고 나면 피부가 환해요,1.0,"끈적, 환해"
TP_251006_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.10.06,-,"건성, 쿨톤, 미백, 각질",한달이상사용,구매 가치/편의,가성비/가격,1,5점,긍정,1,가성비,항상 잘 쓰는 제품이에요 가성비도 좋고,항상 잘 쓰는 제품이에요 가성비도 좋고 맘에 듭니당 제품성도 굿굿,1.0,가성비
TP_251006_002,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.10.06,-,,,피부 고민 해결,"진정/장벽, 트러블/모공",1,5점,긍정,2,"여드름, 진정",저는 여드름 피부인데 이 제품을 바르고 피부진정효과를 봤어요,저는 여드름 피부인데 이 제품을 바르고 피부진정효과를 봤어요.,2.0,"여드름, 진정"
TP_251009_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.10.09,-,,한달이상사용,구매 가치/편의,상황/편의,2,5점,보통,0,"닦토, 화장",화장 전 닦토 아님 토너팩으로 활용하고,점도 있는 토너이고 화장 전 닦토 아님 토너팩으로 활용하고 있어요 양도 괜찮고 쓸 만한거 같아요 미백은 모르겠엉,0.0,"닦토, 미백, 화장"
TP_251009_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.10.09,-,,한달이상사용,피부 고민 해결,미백/광채,2,5점,보통,0,미백,쓸 만한거 같아요 미백은 모르겠엉,점도 있는 토너이고 화장 전 닦토 아님 토너팩으로 활용하고 있어요 양도 괜찮고 쓸 만한거 같아요 미백은 모르겠엉,0.0,"닦토, 미백, 화장"
TP_251009_002,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.10.09,-,,,피부 고민 해결,미백/광채,1,5점,보통,0,미백,오 미백 굿굿 입니다 근데,오 미백 굿굿 입니다 근데 다른 미백 제품하고 함께 쓰면 더 효과적이랄깡 한통 비우고 두번째통 입니덩,0.0,미백
TP_251009_002,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.10.09,-,,,피부 고민 해결,미백/광채,1,5점,보통,0,미백,다른 미백 제품하고,오 미백 굿굿 입니다 근데 다른 미백 제품하고 함께 쓰면 더 효과적이랄깡 한통 비우고 두번째통 입니덩,0.0,미백
TP_251009_003,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.10.09,-,,,피부 고민 해결,미백/광채,1,5점,긍정,2,미백,님들이거진짜미백에정말좋아요제가이렇게띄어쓰기까지안하고쓸정도면진짜정말좋아서미칠거같다는거아시죠근데의문인게저거왜손에다가하고바를려고하면하얗게되는거죠순수궁금입니다,님들이거진짜미백에정말좋아요제가이렇게띄어쓰기까지안하고쓸정도면진짜정말좋아서미칠거같다는거아시죠근데의문인게저거왜손에다가하고바를려고하면하얗게되는거죠순수궁금입니다,2.0,미백
TP_251010_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.10.10,-,"민감성, 여름쿨톤, 잡티, 트러블",,"구매 가치/편의, 수분/유분 밸런스, 제형/사용감","상황/편의, 유분/피지, 흡수/발림성",3,5점,긍정,1,"가벼운, 산뜻, 향",산뜻하고 향도 좋고 가벼운 스킨 느낌이에요,산뜻하고 향도 좋고 가벼운 스킨 느낌이에요. 가벼운 느낌 조아하시는 분들에게 딱인거 같아요,0.5,"가벼운, 산뜻, 향"
TP_251010_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.10.10,-,"민감성, 여름쿨톤, 잡티, 트러블",,제형/사용감,흡수/발림성,3,5점,보통,0,가벼운,가벼운 느낌 조아하시는 분들에게 딱인거 같아요,산뜻하고 향도 좋고 가벼운 스킨 느낌이에요. 가벼운 느낌 조아하시는 분들에게 딱인거 같아요,0.5,"가벼운, 산뜻, 향"
