날짜,별점,스킨타입,태그,리뷰내용
2025.12.23,5점,,,"어성초 라인이 순하다고 해서 로션도 함께 구매했는데, 데일리로 쓰기 정말 좋아요.

제형은 가볍고 묽은 편이라 끈적임 없이 흡수가 빠릅니다. 바르고 나면 피부가 편안해지고, 붉은기나 열감이 진정되는 느낌이 들어요. 트러블 피부라 무거운 로션을 쓰면 바로 뾰루지가 올라오는데, 이 제품은 그런 부담이 전혀 없어서 아침저녁으로 잘 사용 중입니다.

보습력은 과하지 않지만 기본은 충분히 채워줘서 사계절 무난하게 사용 가능할 것 같아요. 향도 거의 없어서 민감한 분들께 특히 좋을 듯합니다. 대용량이라 가성비도 좋고, 학생이나 피부 예민한 분들 데일리 로션으로 추천해요."
2025.12.23,5점,"복합성, 웜톤",한달이상사용,"자극 없어서 좋아요
끈적임도 과하지 않아서 아주 잘 사용하고 있습니다"
2025.12.23,3점,,한달이상사용,무향무취이고 엄청 순해요! 근데 이 제품 이후로 좁쌀 여드름이 생겨서 또 쓰지는 않을 거 같아요 ㅠ
2025.12.23,5점,,재구매,"남친 올인원 안맞는다해서 이거 사줬더니
엄청 꾸준히 잘 쓰고 좋대요ㄱㄱ
어성초라 여드름피부에 더 좋을듯"
2025.12.23,5점,"여름쿨톤, 미백, 트러블",한달이상사용,"무난하게 매일 쓰기 좋아서 계속 구매하고있슴다
근데 또 이거말고 다른거 쓰면 약간 뭐가 나길래
정착했어요"
2025.12.23,5점,,재구매,발림성도 좋고 흡수도 빨라요. 끈적이지 않고 산뜻해요. ㅎㅎ 추천 드려요!!
2025.12.22,5점,"복합성, 봄웜톤, 미백, 트러블",,모낭염 같은거 올라면 약간 따갑긴 해요 근데 이만한 로션을 찾기 힘들어요 수분 충전 딱 되고 화농성 안올라와용 좋아요
2025.12.22,5점,,재구매,매트한 마무리감이 아주 만족스럽습니다. 기름기가 없어요 추천 드려요 ㅎㅎ!!
2025.12.22,5점,,재구매,바르고 나면 피부가 정말 부드러워요. 매끈해져요 추천 드려요 ㅎㅎ!!
2025.12.22,5점,,재구매,피부 결이 매끈해져서 좋아요. 촉촉해졌어요 추천 드려요 ㅎㅎ!!
